name,sport
Daniel Bechle,Track and Field/Cross Country
Byron Johnson,Track and Field/Cross Country
Brady Stegman,Track and Field/Cross Country
Kylin Rudzik,Track and Field/Cross Country
Ellen Dusselier,Track and Field/Cross Country
Ben Pahls,Track and Field/Cross Country
Isaac Radke,Track and Field/Cross Country
Ethan Salmans,Track and Field/Cross Country
Andrew Waller,Track and Field/Cross Country
Toby Wahlmeier,Track and Field/Cross Country
Trever Medina,Track and Field/Cross Country
Anndee Davidson,Track and Field/Cross Country
Addie Berens,Track and Field/Cross Country
Madison Sutterfield,Track and Field/Cross Country
Kurtis McCormick,Track and Field/Cross Country
Amelia Foster,Track and Field/Cross Country
Abbye Hudson,Track and Field/Cross Country
Brenna Murphy,Track and Field/Cross Country
Faith Little,Track and Field/Cross Country
Kenneth Fritsch,Track and Field/Cross Country
Kaden Wren,Track and Field/Cross Country
Tori Poe,Track and Field/Cross Country
Patrisha Doll,Track and Field/Cross Country
Dayton Williams,Track and Field/Cross Country
Kyreese Groen,Track and Field/Cross Country
Connor Kaplinger,Track and Field/Cross Country
Justin Longhorn,Track and Field/Cross Country
Noah Morenz,Track and Field/Cross Country
Edward McVay,Track and Field/Cross Country
Ethan Emmons,Track and Field/Cross Country
Hattie Lukert,Track and Field/Cross Country
Liberty Booker,Track and Field/Cross Country
Jace Peerman,Track and Field/Cross Country
Ethan Lang,Track and Field/Cross Country
Noah McGregor,Track and Field/Cross Country
Alexandria Craig,Track and Field/Cross Country
Rhyann Brown,Track and Field/Cross Country
Brooklyn Ptacek,Track and Field/Cross Country
Blake Harnden,Track and Field/Cross Country
Jayme Hagerman,Track and Field/Cross Country
Maleigha Schmidt,Track and Field/Cross Country
Lucas Cisneros,Track and Field/Cross Country
Regan Hodsden,Track and Field/Cross Country
Jacob Clark,Track and Field/Cross Country
Macy Hammerschmidt,Track and Field/Cross Country
Jade Cass,Track and Field/Cross Country
Kaiden Esfeld,Track and Field/Cross Country
Carsyn Turpin,Track and Field/Cross Country
Kieran Burke,Track and Field/Cross Country
William Tice,Track and Field/Cross Country
Maggie Remsberg,Track and Field/Cross Country
Anne Sophie Van Der Knaap,Track and Field/Cross Country
Donna Jackson,Track and Field/Cross Country
Aaron Mangan,Track and Field/Cross Country
Abby Rueschhoff,Track and Field/Cross Country
Carter Jones,Track and Field/Cross Country
Javyn Contreras,Track and Field/Cross Country
Darian Hudgeons,Track and Field/Cross Country
Annabeth Baalmann,Track and Field/Cross Country
Brady Deges,Track and Field/Cross Country
Kennedy Spaeth,Track and Field/Cross Country
Jama Gleue,Track and Field/Cross Country
Hadley Williams,Track and Field/Cross Country
Jessica Saunders,Track and Field/Cross Country
Max Bowyer,Track and Field/Cross Country
Hayden Albright,Track and Field/Cross Country
Kade Harris,Track and Field/Cross Country
Corbin Ricke,Track and Field/Cross Country
Kaitlin Lindstrom,Track and Field/Cross Country
Kelby Eck,Track and Field/Cross Country
Ethan Fisher,Track and Field/Cross Country
Jaycee Vath,Track and Field/Cross Country
Luke Hampl,Track and Field/Cross Country
Grant Bradley,Track and Field/Cross Country
Ashlyn Harbaugh,Track and Field/Cross Country
Nakari Morrical-Palmer,Track and Field/Cross Country
Nolan Churchman,Track and Field/Cross Country
Taylor Savolt,Track and Field/Cross Country
Mayan Paz,Track and Field/Cross Country
Reba Mader,Track and Field/Cross Country
Chason VanDerWege,Track and Field/Cross Country
Alexus Rigg,Track and Field/Cross Country
Emery Wolfe,Track and Field/Cross Country
Avrey Albright,Track and Field/Cross Country
Trevor Darling,Track and Field/Cross Country
Carter Cellmer,Track and Field/Cross Country
Dean Clark,Track and Field/Cross Country
Jaret Pfizenmaier,Track and Field/Cross Country
Nathaniel Hubbard,Track and Field/Cross Country
Vincent Gatschet,Track and Field/Cross Country
Kinley Brown,Track and Field/Cross Country
Alayna Cossaart,Track and Field/Cross Country
Jonah Remsberg,Track and Field/Cross Country
Keaton Hansard,Track and Field/Cross Country
Katie Wagner,Women's Basketball
Ellie Stearns,Women's Basketball
Avery Lowe,Women's Basketball
Landon Forbes,Women's Basketball
Clary Donica,Women's Basketball
Talexa Weeter,Women's Basketball
Mallory Cowman,Women's Basketball
Brooke Loewe,Women's Basketball
Sasha Koenig,Women's Basketball
Jessie Sallach,Women's Basketball
Emma Ruddle,Women's Basketball
Megan Earney,Women's Basketball
Kate Dilsaver,Women's Basketball
Olivia Hollenbeck,Women's Basketball
Sydney Golladay,Women's Basketball
Ella Neuhauser,Women's Golf
Corbyn Marquess,Women's Golf
Shauna Lee,Women's Golf
Morgan Brasser,Women's Golf
Hayden York,Women's Golf
Aliyah North,Women's Golf
Ines Latoree Barreiro,Tennis
Bethan Gill,Tennis
Yone Pereiro Perez,Tennis
Ines Steeman,Tennis
Grace Unruh,Tennis
Fiorella Mendez Acevedo,Tennis
Rossa Alfonsomelgarejo,Tennis
Shreethika Vangala,Tennis
Hope Lubbers,Tennis
Heidi Lubbers,Tennis
Chloe Mader,Women's Wrestling
Addison Broxterman,Women's Wrestling
Ashlyn Canizalez,Women's Wrestling
Piper Cadden,Women's Wrestling
Ashlynn Goodwin,Women's Wrestling
Isabell Ortiz,Women's Wrestling
Marina Johnson,Women's Wrestling
Lyndsey Buechman,Women's Wrestling
Gabrielle Hampton,Women's Wrestling
Arianna Ortiz,Women's Wrestling
Lila Bloomer,Women's Wrestling
Katelyn Schmidt,Women's Wrestling
Kaylee Ricketts,Women's Wrestling
Noelle Peters,Women's Wrestling
Josiah Ortiz,Women's Wrestling
Hannah Selle,Women's Wrestling
Marissa Porsch,Women's Wrestling
